Date,Open,High,Low,Close,Adj Close,Volume
04-02-2000,8.4,8.4,8.4,8.4,5.986616,90500
07-02-2000,9.07,9.07,7.86,7.95,5.665905,2919500
08-02-2000,8.2,8.4,7.5,7.74,5.516239,1300000
09-02-2000,7.91,7.96,7.13,7.37,5.252543,641500
10-02-2000,7.62,7.95,7.3,7.95,5.665905,1025000
11-02-2000,8.54,8.58,8.2,8.3,5.915347,3139500
14-02-2000,8.96,8.96,7.64,7.64,5.444971,1199500
15-02-2000,7.4,7.58,7.07,7.17,5.110005,755000
16-02-2000,7.2,7.74,7.2,7.66,5.459225,328500
17-02-2000,7.8,7.86,7.46,7.5,5.345193,282000
18-02-2000,7.4,7.55,6.91,7.05,5.024481,448500
21-02-2000,7.49,7.6,7.1,7.19,5.124259,360500
22-02-2000,7.44,7.5,6.7,6.92,4.931832,331500
23-02-2000,6.78,7.14,6.6,6.74,4.803547,227500
24-02-2000,6.8,7.27,6.6,7.27,5.181274,367000
25-02-2000,7.82,7.84,7.05,7.83,5.580383,681000
28-02-2000,8.45,8.45,7.6,7.94,5.658778,812000
29-02-2000,8.39,8.4,7.32,7.32,5.216909,1267500
01-03-2000,7.55,7.9,7.2,7.9,5.63027,358000
02-03-2000,8,8.1,7.42,7.47,5.323812,401500
03-03-2000,7.3,7.38,6.88,7.08,5.045862,505000
06-03-2000,7.6,7.6,6.86,6.99,4.981719,258500
07-03-2000,7.1,7.1,6.52,6.69,4.767913,338500
08-03-2000,6.6,6.7,6.16,6.16,4.390184,281000
09-03-2000,5.81,6.09,5.67,5.67,4.040967,197500
10-03-2000,5.35,5.7,5.22,5.7,4.062348,427000
13-03-2000,6.02,6.15,5.3,5.53,3.941191,230255
14-03-2000,5.6,5.97,5.54,5.96,4.247647,241300
15-03-2000,5.74,6.1,5.74,5.96,4.247647,151005
16-03-2000,5.86,6.42,5.71,6.07,4.326044,543925
17-03-2000,6.07,6.07,6.07,6.07,4.326044,0
20-03-2000,6.07,6.07,6.07,6.07,4.326044,0
21-03-2000,5.7,6.55,5.7,6.32,4.504216,119000
22-03-2000,6.4,6.46,6.2,6.38,4.546977,150505
23-03-2000,6.5,6.54,6.01,6.23,4.440074,158000
24-03-2000,6.1,6.38,6,6.11,4.354552,338495
27-03-2000,6.58,6.58,6.14,6.2,4.418693,116500
28-03-2000,6.37,6.6,6.12,6.6,4.703771,95125
29-03-2000,6.6,7.12,6.6,7.1,5.060117,145000
30-03-2000,7.5,7.65,7,7.45,5.309559,173870
31-03-2000,7.2,8.04,7.2,7.91,5.637396,327505
03-04-2000,8.5,8.54,7.4,7.8,5.559,480885
04-04-2000,7.5,7.6,7.18,7.18,5.117131,123115
05-04-2000,7.15,7.4,6.61,6.97,4.967466,336750
06-04-2000,6.93,7,6.5,6.78,4.832055,124220
07-04-2000,6.85,7.32,6.8,7.32,5.216909,198625
10-04-2000,7.89,7.89,7.23,7.5,5.345193,216500
11-04-2000,7.3,7.48,7.18,7.47,5.323812,183500
12-04-2000,7.74,7.8,7.2,7.26,5.174147,89500
13-04-2000,7.4,7.4,6.97,7,4.988846,115875
14-04-2000,7,7,7,7,4.988846,0
17-04-2000,6.6,6.94,6.45,6.81,4.853436,128385
18-04-2000,6.62,7,6.62,6.89,4.91045,59875
19-04-2000,7.18,7.18,6.6,6.84,4.874816,138000
20-04-2000,6.6,6.7,6.45,6.59,4.696643,110750
21-04-2000,6.59,6.59,6.59,6.59,4.696643,0
24-04-2000,6.66,6.8,6.5,6.52,4.646755,99250
25-04-2000,6.4,6.4,6.07,6.34,4.51847,110625
26-04-2000,6.5,6.84,6.5,6.84,4.874816,115150
27-04-2000,6.72,7.2,6.72,7.12,5.07437,121125
28-04-2000,7.05,7.25,6.85,7.05,5.199754,180950
01-05-2000,7.05,7.05,7.05,7.05,5.199754,0
02-05-2000,7.6,7.6,6.8,7,5.162877,306100
03-05-2000,6.8,7.3,6.8,7.19,5.303013,133750
04-05-2000,7.27,7.6,7.13,7.3,5.384144,81550
05-05-2000,7.39,7.39,6.83,7.03,5.185004,164450
08-05-2000,7,7.18,6.82,7,5.162877,102500
09-05-2000,7.02,7.3,6.92,7.26,5.35464,78625
10-05-2000,7.18,7.3,7.1,7.11,5.244008,44650
11-05-2000,7,7.12,6.8,7.12,5.251383,192075
12-05-2000,6.81,7.15,6.81,7.08,5.22188,114955
15-05-2000,6.8,7.25,6.53,7.25,5.347265,211500
16-05-2000,7.15,7.18,6.96,7.1,5.236632,94475
17-05-2000,7.1,7.66,7.05,7.35,5.421021,116800
18-05-2000,7.28,7.75,7.21,7.42,5.472649,95755
19-05-2000,7.47,7.5,7.3,7.4,5.457898,110350
22-05-2000,7.54,7.54,7.1,7.23,5.332514,85750
23-05-2000,7.29,7.3,6.85,6.9,5.089121,86250
24-05-2000,6.9,7.17,6.81,7.04,5.19238,64125
25-05-2000,7.13,7.18,6.88,6.88,5.074369,219875
